,video_id,LABEL,title_description,title_comments,title_Audio-text,description_comments,description_Audio-text,comments_Audio-text,sadness,love,surprise,fear,anger,joy
0,rxTuq8gymc0,FAKE,0.125488153670392,0.0,0.0,0.0042757371042561,0.0,0.0,0.022162459790706635,0.013866327702999115,0.0009526025387458503,0.31407156586647034,0.6459535956382751,0.002993410686030984
1,4N3hPrJLbEw,FAKE,0.1288206725147631,0.1447832060365054,0.1362901566649804,0.0661672000950757,0.0209454433535108,0.0609032728572731,0.2836107015609741,0.6495074033737183,0.003378825495019555,0.05825740098953247,0.00358552485704422,0.0016601806273683906
2,CfvUr6WAEWM,FAKE,0.2624209362619599,0.2561420373572286,0.2722821871891646,0.2108203926818634,0.2336575553080713,0.2965224461803985,0.7046028971672058,0.00962995644658804,0.0011510566109791398,0.2793895900249481,0.004265374969691038,0.0009611588902771473
3,i1rlytoxQ1o,FAKE,0.2572553478517714,0.1849611522113484,0.3327501786397445,0.2885378299123061,0.7094991348545268,0.2916505544695725,0.0109288664534688,0.043081268668174744,0.001875857007689774,0.941048264503479,0.002335032681003213,0.0007306105690076947
4,jkytlp91onQ,FAKE,0.1971086587717682,0.0329114515213761,0.1921469890387326,0.0797622905330701,0.620634288754559,0.0610557823863829,0.00123054429423064,0.0022204858250916004,0.9916102290153503,0.0033973923418670893,0.0006384846637956798,0.0009028485510498285
5,H5k7n8HL3zw,FAKE,0.0574516877350897,0.1122829842136231,0.056950332327726,0.2417169395594589,0.6301831449819383,0.2394491127514458,0.05316971614956856,0.2525530159473419,0.24365413188934326,0.42815732955932617,0.01578480377793312,0.00668095238506794
6,SM_tuZcFicU,FAKE,0.0732851930423178,0.0890325750237052,0.0483605939015827,0.3040432341247927,0.716989973072427,0.2899750028283401,0.766081690788269,0.06387849897146225,0.0037193007301539183,0.07571424543857574,0.08713307231664658,0.0034732804633677006
7,d_tXC7bkeWM,FAKE,0.0,0.0,0.0,0.0,0.0,0.0,0.026995860040187836,0.05143709108233452,0.002613609191030264,0.432852566242218,0.4769153296947479,0.009185509756207466
8,zpM7AumRDSg,FAKE,1.0,0.0,0.0,0.0,0.0,0.0,0.8310768604278564,0.011848227120935917,0.0016750725917518139,0.12336587905883789,0.029746150597929955,0.0022878097370266914
9,BBzkcPxC2R4,FAKE,0.1490131560382961,0.111135290117548,0.0,0.1148719587497719,0.0,0.0,0.9888585805892944,0.002010942902415991,0.000233991930144839,0.004365035332739353,0.004159529227763414,0.0003719679079949856
10,97I_wJxDepI,FAKE,0.0156193147448075,0.0792259675620149,0.0,0.0148997358513999,0.0,0.0,0.02595154382288456,0.0027191834524273872,0.0005143820308148861,0.9693403244018555,0.0011546609457582235,0.0003200084320269525
11,OrV6rc_VjhI,FAKE,0.2288423709711799,0.0170733755398026,0.2642698787189492,0.1390192410371029,0.6289397318939405,0.1524754200629585,0.9087945222854614,0.007408150006085634,0.00062512734439224,0.02701849490404129,0.05502036586403847,0.0011333359871059656
12,1NZiG99SN7g,FAKE,0.2100584990131475,0.0365933345215015,0.1820150603771617,0.2053899178226412,0.6994221684266869,0.1627554254438954,0.01023030560463667,0.00251123053021729,0.0028709827456623316,0.9831705689430237,0.0009458647109568119,0.0002711329434532672
13,ttBZffinQeE,FAKE,0.4403240938972231,0.2896996743078303,0.4759770975061543,0.3233846066901661,0.7844477577509796,0.3584158045371287,0.012638341635465622,0.0014867716236039996,0.00036966236075386405,0.984497606754303,0.0007822980987839401,0.00022522546350955963
14,zk-DRuNjkc4,FAKE,0.1511282885540205,0.0575476863044414,0.1350501492955342,0.0475686351555016,0.6921288121582612,0.039117306899408,0.20594125986099243,0.6231228709220886,0.00446547195315361,0.11695069819688797,0.04039297252893448,0.009126684628427029
15,ELYg5_IDUE8,FAKE,0.2860033306926624,0.410742233749355,0.3169176462929759,0.3446195340904269,0.5988009565821893,0.3912825790518832,0.04723476618528366,0.3306259512901306,0.026237493380904198,0.2548414170742035,0.28494641184806824,0.056113988161087036
16,iphqRPaaeP8,FAKE,0.3898258610469908,0.2658615405268782,0.0599299682242236,0.2446413666705788,0.0215773644574854,0.1080450767688817,0.09357088059186935,0.4853875935077667,0.0029065718408674,0.03166624903678894,0.23888109624385834,0.1475876122713089
17,Qrywh_Nb3_c,FAKE,0.4957438019949279,0.1076593722231159,0.0,0.1133923469593519,0.0,0.0,0.9966996312141418,0.0007849482353776693,0.00017534609651193023,0.0009998813038691878,0.0011182301677763462,0.00022209709277376533
18,pkhv630k48g,FAKE,0.0,0.3264831145416671,0.0,0.0,0.0,0.0062416874585714,0.6623085141181946,0.009997383691370487,0.000941900652833283,0.317613810300827,0.008132766000926495,0.0010056665632873774
19,VjiKCXCEZBE,FAKE,0.0,0.0880282842642578,0.0,0.0,0.0,0.0,0.9967599511146545,0.0009782197885215282,0.00016767607303336263,0.0008797159534879029,0.0009814853547140956,0.00023285244242288172
20,Js3VtIqJGxY,FAKE,0.0,0.2228288426558027,0.0,0.0,0.0,0.0,0.001271977205760777,0.0014130687341094017,0.00024451836361549795,0.9950751662254333,0.0017581975553184748,0.0002370244765188545
21,xQvZ5kiqd8k,FAKE,0.0539965095470432,0.1551622473906225,0.0463210523454799,0.0265918663981752,0.0,0.0117255391561042,0.9412795305252075,0.002730370033532381,0.0006653288146480918,0.008765899576246738,0.0459350161254406,0.0006239031790755689
22,x0jZDLKBL4M,FAKE,0.2100064031703538,0.1271244995570538,0.0,0.1571677529814703,0.0051583758140095,0.0213755468354385,0.29065975546836853,0.31755056977272034,0.0033236162271350622,0.17450855672359467,0.20807738602161407,0.0058800894767045975
23,a1gYQYlWhWI,FAKE,0.6569729210330907,0.1730371289154968,0.0,0.1225459812804398,0.0,0.0,0.9612035751342773,0.008356435224413872,0.0006223186501301825,0.024304132908582687,0.004843669943511486,0.0006698181387037039
24,XA9Og6QNrhU,FAKE,0.0,0.0,0.0,0.0,0.0,0.0,0.8310768604278564,0.011848227120935917,0.0016750725917518139,0.12336587905883789,0.029746150597929955,0.0022878097370266914
25,sXwToBIP6HM,FAKE,0.1403146421241197,0.0801366815088592,0.0,0.0544435805735111,0.0,0.0,0.9948886036872864,0.0010095967445522547,0.00020212568051647395,0.0031457003206014633,0.0005744121735915542,0.00017960550030693412
26,t8uNjXpUeKE,FAKE,0.4488152608023419,0.0,0.0,0.0,0.0,0.0,0.004163810051977634,0.9842851758003235,0.0005475778598338366,0.005258782766759396,0.003625070210546255,0.0021196138113737106
27,JIdk1-eOF-s,FAKE,0.0,0.0,0.0,0.0,0.0,0.0,0.8607586622238159,0.008102119900286198,0.0007095961482264102,0.09567120671272278,0.033630482852458954,0.0011279718019068241
28,UceGYR1TBiY,FAKE,0.01734576668269,0.0,0.0,0.0,0.0,0.0,0.026995860040187836,0.05143709108233452,0.002613609191030264,0.432852566242218,0.4769153296947479,0.009185509756207466
29,5F_oKY0vXCM,FAKE,0.0,0.0781195716488264,0.0,0.0,0.0225487858304725,0.0,0.9856662154197693,0.008664747700095177,0.0006169638363644481,0.0019550486467778683,0.002472521970048547,0.0006243676762096584
30,S1rHZOCxhOs,FAKE,0.1832576988031126,0.1220177652705236,0.0,0.0703625881411249,0.0,0.0,0.017805486917495728,0.29744166135787964,0.0029283096082508564,0.3215886354446411,0.3479887545108795,0.012247162871062756
31,D3J7R6WBJJc,FAKE,0.7765145304745156,0.297447639327727,0.0,0.2780858057225327,0.0,0.0,0.03380858898162842,0.36092811822891235,0.004499024245887995,0.47854840755462646,0.11820200830698013,0.004013898316770792
32,8HcYA6KKkTc,FAKE,0.0,0.3153534629392468,0.0,0.0,0.0,0.0187518302825474,0.0037737698294222355,0.9477237462997437,0.04599582031369209,0.0011011356255039573,0.0006811743951402605,0.0007242532446980476
33,XXN2-vL_IC8,FAKE,0.0,0.0,0.0,0.0,0.0,0.0,0.41007575392723083,0.2282199263572693,0.004646363668143749,0.34562158584594727,0.010044013150036335,0.0013923306250944734
