video_id,LABEL,title_description,title_comments,title_Audio-text,description_comments,description_Audio-text,comments_Audio-text
rxTuq8gymc0,FAKE,0.12548815367039204,0.0,0.0,0.0042757371042561965,0.0,0.0
4N3hPrJLbEw,FAKE,0.12882067251476312,0.14478320603650546,0.13629015666498043,0.0661672000950757,0.020945443353510857,0.06090327285727315
CfvUr6WAEWM,FAKE,0.26242093626195995,0.2561420373572286,0.27228218718916464,0.2108203926818634,0.2336575553080713,0.2965224461803985
i1rlytoxQ1o,FAKE,0.2572553478517714,0.18496115221134843,0.33275017863974454,0.2885378299123061,0.7094991348545268,0.29165055446957255
jkytlp91onQ,FAKE,0.19710865877176825,0.03291145152137613,0.19214698903873265,0.07976229053307013,0.620634288754559,0.061055782386382915
H5k7n8HL3zw,FAKE,0.05745168773508979,0.11228298421362316,0.056950332327726005,0.24171693955945894,0.6301831449819383,0.2394491127514458
SM_tuZcFicU,FAKE,0.07328519304231787,0.08903257502370529,0.04836059390158276,0.3040432341247927,0.716989973072427,0.2899750028283401
d_tXC7bkeWM,FAKE,0.0,0.0,0.0,0.0,0.0,0.0
zpM7AumRDSg,FAKE,1.0,0.0,0.0,0.0,0.0,0.0
BBzkcPxC2R4,FAKE,0.14901315603829615,0.11113529011754805,0.0,0.11487195874977192,0.0,0.0
97I_wJxDepI,FAKE,0.015619314744807584,0.07922596756201497,0.0,0.014899735851399958,0.0,0.0
OrV6rc_VjhI,FAKE,0.22884237097117993,0.017073375539802697,0.26426987871894925,0.13901924103710298,0.6289397318939405,0.15247542006295858
1NZiG99SN7g,FAKE,0.2100584990131475,0.03659333452150154,0.18201506037716172,0.2053899178226412,0.6994221684266869,0.16275542544389546
ttBZffinQeE,FAKE,0.44032409389722316,0.2896996743078303,0.47597709750615436,0.3233846066901661,0.7844477577509796,0.35841580453712873
zk-DRuNjkc4,FAKE,0.15112828855402052,0.057547686304441445,0.13505014929553427,0.04756863515550164,0.6921288121582612,0.039117306899408094
ELYg5_IDUE8,FAKE,0.2860033306926624,0.41074223374935503,0.3169176462929759,0.3446195340904269,0.5988009565821893,0.39128257905188324
iphqRPaaeP8,FAKE,0.38982586104699085,0.2658615405268782,0.05992996822422367,0.24464136667057884,0.021577364457485447,0.1080450767688817
Qrywh_Nb3_c,FAKE,0.49574380199492796,0.1076593722231159,0.0,0.11339234695935194,0.0,0.0
pkhv630k48g,FAKE,0.0,0.3264831145416671,0.0,0.0,0.0,0.00624168745857147
VjiKCXCEZBE,FAKE,0.0,0.0880282842642578,0.0,0.0,0.0,0.0
Js3VtIqJGxY,FAKE,0.0,0.22282884265580274,0.0,0.0,0.0,0.0
xQvZ5kiqd8k,FAKE,0.05399650954704321,0.1551622473906225,0.0463210523454799,0.02659186639817529,0.0,0.011725539156104251
